Team,Stadium,Address,City,State,ZIP,Country,Capacity,Opened
Arizona Diamondbacks,Chase Field,401 East Jefferson Street,Phoenix,AZ,85004,US," 48,405 ",1998
Atlanta Braves,Truist Park,755 Battery Avenue,Atlanta,GA,30339,US," 41,084 ",2017
Baltimore Orioles,Oriole Park at Camden Yards,333 West Camden Street,Baltimore,MD,21201,US," 44,970 ",1992
Boston Red Sox,Fenway Park,4 Jersey Street,Boston,MA,2215,US," 37,755 ",1912
Chicago Cubs,Wrigley Field,1060 West Addison,Chicago,IL,60613,US," 41,649 ",1914
Chicago White Sox,Guaranteed Rate Field,333 West 35th Street,Chicago,IL,60616,US," 40,615 ",1991
Cincinnati Reds,Great American Ballpark,100 Main Street,Cincinnati,OH,45202,US," 43,500 ",2003
Cleveland Guardians,Progressive Field,2401 Ontario Street,Cleveland,OH,44115,US," 34,830 ",1994
Colorado Rockies,Coors Field,2001 Blake Street,Denver,CO,80205,US," 50,144 ",1995
Detroit Tigers,Comerica Park,2100 Woodward Avenue,Detroit,MI,48201,US," 41,083 ",2000
Houston Astros,Minute Maid Park,501 Crawford Street,Houston,TX,77002,US," 41,168 ",2000
Kansas City Royals,Kauffman Stadium,One Royal Way,Kansas City,MO,64129,US," 37,903 ",1973
Los Angeles Angels,Angel Stadium,2000 Gene Autry Way,Anaheim,CA,92806,US," 45,517 ",1966
Los Angeles Dodgers,Dodger Stadium,1000 Vin Scully Avenue,Los Angeles,CA,90012,US," 56,000 ",1962
Miami Marlins,loanDepot park,501 Marlins Way,Miami,FL,33125,US," 36,742 ",2012
Milwaukee Brewers,American Family Field,One Brewers Way,Milwaukee,WI,53214,US," 41,900 ",2001
Minnesota Twins,Target Field,1 Twins Way,Minneapolis,MN,55403,US," 38,544 ",2010
New York Mets,Citi Field,41 Seaver Way,Flushing,NY,11368,US," 41,922 ",2009
New York Yankees,Yankee Stadium,One East 161st Street,Bronx,NY,10451,US," 46,537 ",2009
Oakland Athletics,Oakland Coliseum,7000 Coliseum Way,Oakland,CA,94621,US," 46,847 ",1966
Philadelphia Phillies,Citizens Bank Park,One Citizens Bank Way,Philadelphia,PA,19148,US," 42,792 ",2004
Pittsburgh Pirates,PNC Park,115 Federal Street,Pittsburgh,PA,15212,US," 38,747 ",2001
San Diego Padres,Petco Park,100 Park Boulevard,San Diego,CA,92101,US," 39,860 ",2004
San Francisco Giants,Oracle Park,24 Willie Mays Plaza,San Francisco,CA,94107,US," 41,265 ",2000
Seattle Mariners,T-Mobile Park,P.O. Box 4100,Seattle,WA,98104,US," 47,929 ",1999
St. Louis Cardinals,Busch Stadium,700 Clark Street,St. Louis,MO,63102,US," 45,494 ",2006
Tampa Bay Rays,Tropicana Field,One Tropicana Drive,St. Petersburg,FL,33705,US," 25,000 ",1990
Texas Rangers,Globe Life Field,734 Stadium Drive,Arlington,TX,76011,US," 40,300 ",2020
Toronto Blue Jays,Rogers Centre,1 Blue Jays Way,Toronto,Ontario,M5V1J1,Canada," 39,150 ",1989
Washington Nationals,Nationals Park,1500 South Capitol Street SE,Washington,DC,20003,US," 41,373 ",2008